host,country,isolation,collection_date
,China,,2016
Homo sapiens,Australia,blood,2016/02
Homo sapiens,Taiwan,blood,2016/05
Homo sapiens,Taiwan,,2016/10
,Uganda,,1947
Homo sapiens,China,blood,2016/02/06
Homo sapiens,China,,2019/07/02
Homo sapiens,Suriname,blood,2015/10/02
Homo sapiens,China,blood,2016/02/16
Homo sapiens,China,blood,2016/02/26
Homo sapiens,China,urine,2016/02/29
Homo sapiens,Brazil,,2016/03/01
Homo sapiens,Nicaragua,,2016/01/19
Homo sapiens,Singapore,,2016/09/04
Homo sapiens,Singapore,,2016/09/04
Homo sapiens,Singapore,,2016/09/06
Homo sapiens,Singapore,,2016/09/06
Homo sapiens,Singapore,,2016/09/07
Homo sapiens,Singapore,,2016/09/07
Homo sapiens,Singapore,,2016/09/07
Homo sapiens,Singapore,,2016/09/07
Homo sapiens,Singapore,,2016/09/08
Homo sapiens,Singapore,,2016/09/08
Homo sapiens,Singapore,,2016/09/08
Homo sapiens,Singapore,,2016/09/12
Homo sapiens,Singapore,,2016/09/12
Homo sapiens,Singapore,,2016/09/13
Homo sapiens,Singapore,,2016/09/13
Homo sapiens,Singapore,,2016/09/13
Homo sapiens,Singapore,,2016/09/13
Homo sapiens,Singapore,,2016/09/13
Homo sapiens,Singapore,,2016/09/14
Homo sapiens,Singapore,,2016/09/19
Homo sapiens,Singapore,,2016/09/20
Homo sapiens,Singapore,,2016/08/30
Homo sapiens,Singapore,,2016/08/27
Homo sapiens,Singapore,,2016/08/26
Homo sapiens,Singapore,,2016/08/27
Homo sapiens,Singapore,,2016/08/27
Homo sapiens,Singapore,,2016/08/29
Homo sapiens,Singapore,,2016/08/27
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/30
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/29
Homo sapiens,Singapore,,2016/08/29
Homo sapiens,Singapore,,2016/08/29
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/26
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/29
Homo sapiens,Singapore,,2016/08/29
Homo sapiens,Singapore,,2016/08/27
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/29
Homo sapiens,Singapore,,2016/08/30
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/29
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/26
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/08/28
Homo sapiens,Singapore,,2016/09/07
Homo sapiens,Singapore,,2016/09/05
Homo sapiens,Singapore,,2016/08/30
Homo sapiens,Singapore,,2016/09/02
Homo sapiens,Singapore,,2016/08/30
Homo sapiens,Singapore,,2016/09/15
Homo sapiens,Singapore,,2016/09/07
Homo sapiens,Singapore,,2016/09/07
Aedes aegypti,Singapore,,2016/09/05
Aedes aegypti,Singapore,,2016/09/05
Aedes aegypti,Singapore,,2016/09/06
